millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
20521,1089,384,0,0,32,0,0,21, 1, 0.975000, 0.177995, 0.072730, -0.981340, -0.128638, 0.099801, -0.986657, -60.043133, -179.949738, 451.023346, -58.936115, -184.530838, 452.196594, -55.203068, -186.824295, 453.034454, -51.036182, -185.468353, 453.046112, -48.894840, -181.263123, 452.224731, -49.766544, -176.447037, 451.268585, -53.753372, -174.422653, 450.213593, -57.894119, -175.770340, 450.201935, -1.052749, -172.797806, 432.102600, 0.643508, -177.361435, 433.432251, 4.727578, -179.343613, 434.595367, 8.803197, -177.559738, 434.910614, 10.459543, -173.059769, 434.193329, 8.730246, -168.503220, 432.863708, 4.651637, -166.554245, 431.700592, 0.275074, -168.045364, 431.522430, -24.087141, -145.977127, 470.851868, -0.036951, -0.038588, -0.035942, 
20565,1089,384,0,0,32,0,0,22, 1, 0.975000, 0.179683, 0.069899, -0.981238, -0.122793, 0.100810, -0.987299, -59.651310, -178.747223, 447.641541, -58.570335, -183.329102, 448.855255, -54.883064, -185.651031, 449.829895, -50.752537, -184.333099, 449.994507, -48.618305, -180.151138, 449.252686, -49.477215, -175.333740, 448.266663, -53.410275, -173.280701, 447.064331, -57.512630, -174.593231, 446.899719, -1.030255, -172.001648, 429.858948, 0.623096, -176.579391, 431.206146, 4.675433, -178.607605, 432.431946, 8.750304, -176.873779, 432.818268, 10.436533, -172.397461, 432.138855, 8.749009, -167.825211, 430.791656, 4.700395, -165.831543, 429.565857, 0.325390, -167.271210, 429.311646, -24.082073, -146.025803, 470.642059, -0.036816, -0.040660, -0.036501, 
20609,1089,384,0,0,32,0,0,23, 1, 0.975000, 0.183788, 0.071374, -0.980371, -0.124201, 0.104986, -0.986687, -59.505161, -178.495407, 446.498566, -58.437351, -183.075668, 447.803345, -54.766781, -185.388016, 448.836395, -50.647373, -184.056870, 448.992584, -48.513451, -179.866516, 448.180420, -49.363041, -175.044754, 447.097015, -53.276638, -173.009979, 445.842560, -57.365986, -174.334747, 445.686371, -1.078020, -171.865463, 429.321533, 0.588431, -176.437042, 430.664673, 4.654291, -178.446594, 431.853912, 8.734357, -176.692902, 432.192566, 10.414752, -172.207947, 431.482300, 8.714544, -167.642914, 430.139130, 4.653572, -165.667343, 428.949890, 0.274037, -167.126297, 428.745819, -24.049665, -145.887802, 470.052612, -0.031491, -0.041139, -0.036236, 
20642,1089,384,0,0,32,0,0,24, 1, 0.975000, 0.181598, 0.080037, -0.980110, -0.125291, 0.108977, -0.986117, -59.557449, -178.368912, 446.205719, -58.458153, -182.931961, 447.430786, -54.758232, -185.216431, 448.353699, -50.629642, -183.864655, 448.433838, -48.510597, -179.673721, 447.624298, -49.383759, -174.872757, 446.618530, -53.331078, -172.861084, 445.476318, -57.431828, -174.205475, 445.396149, -1.149717, -171.665253, 428.921844, 0.538175, -176.234650, 430.225128, 4.628345, -178.227081, 431.351929, 8.720758, -176.452301, 431.642181, 10.395140, -171.955078, 430.925873, 8.674685, -167.392899, 429.622589, 4.590245, -165.433136, 428.495789, 0.198618, -166.915268, 428.346680, -24.057510, -145.767029, 469.656708, -0.027012, -0.041194, -0.035814, 
20675,1089,384,0,0,32,0,0,25, 1, 0.975000, 0.179544, 0.079453, -0.980536, -0.126291, 0.110858, -0.985779, -59.448856, -177.746857, 444.696198, -58.352749, -182.298080, 445.899261, -54.657459, -184.578995, 446.792633, -50.532459, -183.234421, 446.852966, -48.413441, -179.057327, 446.044983, -49.281330, -174.270309, 445.060089, -53.225243, -172.259735, 443.948547, -57.322968, -173.596725, 443.888184, -1.207799, -170.799500, 426.891907, 0.495809, -175.372284, 428.197327, 4.590800, -177.363495, 429.367065, 8.675152, -175.582962, 429.715881, 10.332745, -171.078049, 429.039459, 8.595851, -166.511414, 427.734039, 4.505430, -164.553802, 426.564331, 0.118143, -166.044388, 426.354645, -24.121914, -145.661423, 469.379913, -0.025692, -0.040042, -0.035124, 
20697,1089,384,0,0,32,0,0,26, 1, 0.975000, 0.176240, 0.079589, -0.981124, -0.126968, 0.120145, -0.984604, -59.415676, -177.335999, 443.733643, -58.324028, -181.894730, 444.983612, -54.646576, -184.183777, 445.975372, -50.541092, -182.841965, 446.127960, -48.433033, -178.659653, 445.351990, -49.306351, -173.862274, 444.325470, -53.225967, -171.846725, 443.110229, -57.302483, -173.182373, 442.957642, -1.215915, -171.383698, 428.872406, 0.490305, -175.945206, 430.155640, 4.582263, -177.927231, 431.301605, 8.659705, -176.145584, 431.639008, 10.311114, -171.648239, 430.970184, 8.572417, -167.092865, 429.686951, 4.485059, -165.143600, 428.540985, 0.104420, -166.636597, 428.345154, -24.246801, -145.585938, 469.481537, -0.025078, -0.038047, -0.033540, 
20730,1089,384,0,0,32,0,0,27, 1, 0.975000, 0.175098, 0.084079, -0.980954, -0.126575, 0.116665, -0.985073, -59.658001, -177.666428, 444.847198, -58.540745, -182.215057, 446.053955, -54.831459, -184.477036, 446.945496, -50.708019, -183.108292, 446.999603, -48.605225, -178.916138, 446.184570, -49.495628, -174.130035, 445.195404, -53.451927, -172.140381, 444.086273, -57.548058, -173.501266, 444.032166, -1.279930, -171.340317, 428.736633, 0.428029, -175.893707, 429.997437, 4.516988, -177.871399, 431.126587, 8.588512, -176.091995, 431.462585, 10.234992, -171.602066, 430.808655, 8.495080, -167.054550, 429.547852, 4.410615, -165.109146, 428.418701, 0.035886, -166.601746, 428.226227, -24.368250, -145.557449, 469.578369, -0.024094, -0.036152, -0.033029, 
20762,1089,384,0,0,32,0,0,28, 1, 0.975000, 0.165761, 0.092732, -0.981796, -0.137524, 0.108715, -0.984514, -60.100914, -178.244354, 446.760376, -58.910130, -182.753433, 447.819061, -55.145046, -184.937851, 448.508636, -51.017887, -183.501938, 448.425171, -48.962460, -179.293808, 447.617554, -49.913628, -174.551315, 446.772247, -53.931732, -172.632858, 445.869293, -58.036030, -174.058929, 445.952759, -1.495800, -167.543213, 419.392151, 0.125339, -172.129562, 420.723999, 4.140704, -174.208374, 422.045532, 8.198164, -172.535919, 422.582611, 9.895564, -168.093231, 422.020599, 8.238582, -163.508820, 420.688751, 4.223210, -161.466797, 419.367218, -0.138110, -162.848984, 418.957794, -24.469683, -145.452301, 469.263824, -0.028059, -0.033898, -0.032867, 
20784,1089,384,0,0,32,0,0,29, 1, 0.975000, 0.169217, 0.089302, -0.981525, -0.136816, 0.116338, -0.983741, -60.006233, -177.809998, 445.499878, -58.835682, -182.323273, 446.624542, -55.090885, -184.518265, 447.373016, -50.972202, -183.092010, 447.306824, -48.909611, -178.887070, 446.464783, -49.844498, -174.137314, 445.551025, -53.839928, -172.212982, 444.591644, -57.934128, -173.629272, 444.657806, -1.587079, -168.098877, 420.973602, 0.078161, -172.671158, 422.219391, 4.128394, -174.714996, 423.446259, 8.190619, -173.008835, 423.935547, 9.861586, -168.553665, 423.400635, 8.162889, -163.983521, 422.154846, 4.113271, -161.974030, 420.927979, -0.254775, -163.396515, 420.577606, -24.653271, -145.532104, 469.529419, -0.025296, -0.033023, -0.031406, 
20838,1089,384,0,0,32,0,0,30, 1, 0.975000, 0.173116, 0.087155, -0.981038, -0.135902, 0.118430, -0.983618, -59.963463, -177.245392, 444.071106, -58.748676, -181.747238, 445.131714, -54.964840, -183.902588, 445.784241, -50.836143, -182.433075, 445.646423, -48.797146, -178.207382, 444.799042, -49.770485, -173.470245, 443.946747, -53.807510, -171.583740, 443.085876, -57.913567, -173.042099, 443.223694, -1.684656, -167.942490, 420.746674, -0.055822, -172.530716, 422.051147, 3.977877, -174.600739, 423.306458, 8.052647, -172.914902, 423.777222, 9.757054, -168.462906, 423.187714, 8.093571, -163.877670, 421.883209, 4.061149, -161.843063, 420.627899, -0.315705, -163.237808, 420.290680, -24.788906, -145.452957, 469.397217, -0.025274, -0.032131, -0.031213, 
